log_id,product_id,plant_id,date_key,operator_id,defect_type,rework_hours
135,152,1,20221028,2524,Misalignment,2.79
136,352,10,20221025,2759,Scratch,0.79
137,187,8,20220706,1707,Misalignment,4.1
138,295,7,20241027,2898,Scratch,2.02
139,376,10,20240227,871,Scratch,3.88
140,140,4,20220802,2535,Scratch,2.38
141,302,3,20230506,1519,Color Deviation,0.59
142,1,2,20240511,2589,Misalignment,0.78
143,326,7,20230809,2027,Dent,3.01
144,411,9,20240812,2347,Color Deviation,2.26
145,11,6,20220916,2411,Scratch,4.96
146,243,1,20230802,1293,Color Deviation,2.4
147,146,3,20230420,1826,Color Deviation,1.32
148,211,3,20230420,2099,Color Deviation,4.75
149,253,8,20220818,2202,Misalignment,1.66
150,60,7,20231003,1252,Misalignment,4.72
151,261,3,20220726,2354,Dent,2.43
152,224,3,20220619,2505,Dent,4.18
153,9,1,20240613,2123,Scratch,3.34
154,433,7,20240502,2492,Scratch,4.86
155,45,3,20220614,457,Scratch,4.6
156,53,6,20231227,1233,Dent,3.81
157,449,5,20231221,2634,Misalignment,1.96
158,243,8,20220516,1715,Color Deviation,3.95
159,72,1,20221106,2085,Color Deviation,2.74
160,315,2,20220428,1389,Color Deviation,0.74
161,370,6,20220506,1964,Color Deviation,1.01
162,183,10,20240720,992,Scratch,4.61
163,152,9,20240604,658,Scratch,4.3
164,181,5,20221031,1753,Scratch,4.91
165,484,2,20221024,1174,Dent,1.78
166,133,1,20240505,211,Color Deviation,3.54
167,453,8,20220916,732,Color Deviation,3.21
168,251,7,20230314,396,Misalignment,3.04
169,251,8,20220816,2720,Color Deviation,3.02
170,259,3,20230308,1884,Dent,3.28
171,450,1,20240112,157,Scratch,3.2
172,473,2,20230730,1893,Scratch,2.15
173,349,1,20240210,2415,Misalignment,1.54
174,261,8,20230311,1665,Color Deviation,2.45
175,21,7,20230602,2215,Dent,3.76
176,424,10,20230723,1759,Color Deviation,2.43
177,324,8,20241214,2104,Color Deviation,3.45
178,233,9,20230221,253,Dent,1.06
179,247,5,20220610,1199,Color Deviation,3.93
180,371,10,20240315,101,Misalignment,4.04
181,209,3,20230323,2069,Color Deviation,0.68
182,425,6,20220127,2943,Misalignment,2.32
183,354,2,20231218,1943,Dent,4.98
184,332,7,20230701,2065,Misalignment,0.99
185,105,3,20230201,130,Misalignment,2.37
186,312,9,20241227,107,Scratch,1.34
187,407,7,20240216,629,Color Deviation,0.59
188,379,7,20220811,2615,Scratch,2.41
189,48,10,20240201,778,Color Deviation,0.88
190,53,8,20231206,2520,Dent,4.15
191,456,2,20220217,2270,Scratch,3.71
192,2,9,20220201,2338,Misalignment,3.9
193,390,7,20220306,468,Dent,4.23
194,355,4,20241001,1964,Misalignment,3.33
195,440,10,20240528,1337,Misalignment,3.38
196,329,7,20220515,746,Dent,1.87
197,238,7,20241114,624,Color Deviation,3.02
198,2,7,20220505,253,Scratch,0.54
199,72,6,20240814,652,Dent,3.96
200,270,7,20220407,2694,Color Deviation,4.55
201,279,1,20230722,676,Color Deviation,3.01
202,389,8,20241023,1111,Misalignment,3.77
203,450,1,20240203,112,Color Deviation,4.68
204,457,4,20240918,22,Scratch,3.25
205,301,5,20231006,601,Dent,3.41
206,166,4,20220912,1186,Misalignment,3.47
207,224,9,20241114,179,Color Deviation,2.06
208,35,6,20221124,2797,Scratch,3.02
209,459,2,20220103,954,Color Deviation,2.5
210,432,1,20220526,1853,Dent,3.01
211,240,3,20231013,1237,Color Deviation,4.41
212,201,2,20241106,2826,Dent,2.15
213,68,8,20220702,1861,Scratch,3.12
214,297,5,20230309,2094,Misalignment,0.7
215,309,9,20220714,1886,Scratch,3.5
216,266,5,20240202,73,Scratch,4.1
217,274,8,20231227,2721,Misalignment,2.95
218,351,9,20220526,845,Scratch,2.86
219,68,6,20220619,1391,Color Deviation,4.93
220,304,6,20220514,416,Dent,4.06
221,454,1,20240907,400,Misalignment,4.98
222,343,6,20220131,1967,Color Deviation,0.7
223,309,6,20240229,1722,Scratch,4.9
224,351,3,20230808,1934,Color Deviation,4.73
225,154,9,20220830,2867,Dent,1.67
226,163,10,20220307,2290,Misalignment,0.53
227,421,10,20231008,684,Scratch,1.81
228,230,7,20220617,2782,Misalignment,4.28
229,440,3,20230711,761,Scratch,0.55
230,35,4,20230703,1715,Color Deviation,3.15
231,127,8,20220720,1670,Misalignment,1.78
232,349,5,20231219,1622,Color Deviation,2.76
233,259,5,20240718,973,Misalignment,4.01
234,300,9,20240702,1359,Scratch,3.01
235,166,4,20241205,1784,Misalignment,0.86
236,3,10,20241130,995,Color Deviation,3.9
237,108,3,20230913,1561,Scratch,1.22
238,400,1,20220819,1288,Color Deviation,4.77
239,122,9,20240920,455,Scratch,4.65
240,318,7,20230923,2945,Scratch,4.01
241,191,1,20220505,1610,Misalignment,1.2
242,277,10,20241024,2377,Color Deviation,0.87
243,193,5,20230521,2389,Dent,4.27
244,288,8,20230623,984,Scratch,4.7
245,120,9,20220123,1057,Misalignment,3.89
246,226,4,20240910,861,Misalignment,2.59
247,168,8,20231121,2099,Misalignment,3.27
248,49,7,20240826,1030,Misalignment,0.55
249,424,7,20230822,1942,Misalignment,0.68
250,68,8,20240324,1165,Dent,2.45
251,83,10,20220827,1101,Color Deviation,0.66
252,86,6,20241116,1426,Misalignment,4.26
253,300,9,20240206,937,Scratch,3.23
254,152,6,20230620,1908,Scratch,0.52
255,50,1,20221006,1718,Misalignment,1.75
256,457,7,20230717,1591,Scratch,1.88
257,37,2,20220507,1241,Misalignment,0.95
258,246,7,20220423,808,Misalignment,1.11
259,98,6,20231110,1842,Misalignment,4.88
260,353,7,20220314,1604,Misalignment,3.11
261,173,7,20231204,1807,Scratch,0.95
262,108,2,20230717,1102,Scratch,3.98
263,63,5,20231201,824,Scratch,3.48
264,476,10,20240408,2344,Dent,2.35
265,468,9,20231127,111,Color Deviation,4.82
266,154,2,20230708,879,Dent,1.33
267,234,1,20230121,352,Scratch,0.76
268,119,5,20230402,2062,Dent,0.67
269,119,1,20231119,1117,Misalignment,2.44
270,151,1,20220529,1489,Scratch,3.91
271,395,1,20230408,1551,Dent,3.75
272,150,9,20230425,1439,Scratch,0.81
273,473,7,20240803,2171,Misalignment,3.44
274,26,9,20230703,2580,Dent,0.76
275,370,3,20220901,633,Dent,1.88
276,474,6,20230209,24,Dent,3.99
277,264,3,20240519,1288,Color Deviation,1.59
278,336,8,20220504,884,Color Deviation,1.73
279,170,5,20240715,2754,Misalignment,4.44
280,458,1,20230705,2796,Scratch,1.26
281,430,7,20240804,841,Misalignment,4.28
282,1,6,20220421,804,Dent,4.96
283,328,10,20231024,1533,Color Deviation,3.45
284,419,1,20220301,1364,Scratch,4.26
285,462,5,20240706,1921,Misalignment,1.74
286,214,3,20220304,1674,Scratch,4.31
287,375,10,20231005,430,Dent,1.0
288,498,10,20240825,2559,Color Deviation,0.65
289,10,9,20241221,1633,Scratch,2.59
290,100,9,20240707,52,Misalignment,2.02
291,80,4,20240603,765,Dent,1.89
292,4,5,20221124,2666,Color Deviation,2.07
293,54,7,20220901,1856,Scratch,4.6
294,397,7,20230328,2517,Color Deviation,4.25
295,195,4,20241010,2744,Scratch,4.33
296,476,8,20220827,829,Misalignment,2.43
297,378,10,20221207,720,Color Deviation,2.64
298,299,4,20230502,2155,Scratch,1.01
299,132,10,20241030,1779,Scratch,3.98
300,269,4,20220131,158,Color Deviation,1.11
301,370,5,20241123,2200,Misalignment,4.77
302,120,2,20221119,2383,Color Deviation,1.35
303,230,7,20241110,226,Misalignment,4.23
304,231,8,20230715,1528,Misalignment,4.31
305,150,6,20220920,1213,Dent,3.27
306,145,3,20220717,2406,Misalignment,2.86
307,18,4,20221105,1952,Misalignment,3.6
308,14,3,20221216,2502,Misalignment,3.74
309,435,7,20220829,944,Misalignment,1.43
310,90,6,20240527,2737,Scratch,0.71
311,301,7,20231215,362,Dent,2.83
312,342,3,20220819,1796,Color Deviation,3.94
313,3,3,20230710,1780,Dent,2.11
314,326,9,20230719,491,Color Deviation,1.45
315,379,2,20220215,2042,Misalignment,1.36
316,112,10,20230618,2088,Dent,3.83
317,373,1,20220207,1326,Scratch,2.02
318,330,8,20240724,2597,Scratch,1.83
319,274,3,20240812,2124,Color Deviation,2.27
320,131,10,20231011,1007,Scratch,1.47
321,376,10,20230223,2333,Scratch,3.03
322,94,2,20231010,862,Misalignment,4.01
323,3,7,20220318,2778,Scratch,0.6
324,403,1,20221227,1390,Misalignment,1.45
325,182,1,20220610,2396,Scratch,0.9
326,59,3,20240113,2541,Dent,0.7
327,228,9,20230618,2029,Misalignment,2.05
328,219,2,20230619,1424,Dent,4.4
329,96,2,20221116,720,Scratch,4.7
330,460,6,20220921,910,Scratch,2.61
331,196,8,20230920,1654,Scratch,4.93
332,370,3,20240817,882,Scratch,1.37
333,137,3,20241031,2581,Scratch,2.34
334,233,9,20240811,129,Scratch,4.02
335,123,5,20241018,1404,Color Deviation,1.32
336,171,8,20240303,444,Color Deviation,0.62
337,434,8,20241115,731,Misalignment,2.81
338,104,5,20230731,1527,Misalignment,0.9
339,40,7,20220827,2932,Misalignment,3.32
340,427,9,20240712,167,Dent,4.53
341,411,2,20230117,193,Dent,2.06
342,23,8,20230606,978,Misalignment,3.58
343,218,1,20230211,518,Color Deviation,1.84
344,358,8,20231125,29,Dent,2.78
345,278,8,20220627,859,Scratch,3.11
346,363,8,20241231,2019,Scratch,2.88
347,94,6,20240830,1010,Misalignment,0.91
348,176,7,20221027,1046,Dent,1.48
349,35,9,20230110,362,Scratch,3.46
350,64,9,20241102,2219,Misalignment,1.99
351,398,7,20240217,777,Misalignment,3.98
352,116,8,20240613,1790,Color Deviation,4.39
353,23,9,20220621,2674,Dent,0.86
354,346,10,20231101,208,Color Deviation,4.41
355,14,9,20220129,1028,Scratch,1.85
356,175,4,20231002,913,Dent,3.86
357,414,3,20220410,935,Misalignment,2.99
358,121,6,20220425,1144,Misalignment,3.63
359,8,8,20220202,73,Scratch,1.43
360,148,6,20230211,2548,Dent,3.5
361,117,10,20241223,1437,Color Deviation,2.78
362,162,1,20230313,2403,Misalignment,3.03
363,103,1,20240118,140,Misalignment,0.95
364,162,8,20240211,2743,Color Deviation,0.82
365,263,4,20220220,1662,Misalignment,1.31
366,384,2,20220220,1714,Misalignment,4.67
367,458,4,20241108,418,Dent,1.68
368,33,6,20241006,530,Misalignment,1.34
369,24,6,20230709,233,Misalignment,0.95
370,485,8,20221111,2853,Misalignment,4.09
371,39,10,20230828,1657,Misalignment,4.54
372,25,2,20240809,922,Color Deviation,3.43
373,141,7,20241209,2817,Scratch,1.14
374,454,10,20241106,1760,Dent,4.16
375,311,1,20240910,2317,Scratch,3.86
376,108,5,20221224,68,Color Deviation,4.35
377,378,9,20240213,2318,Color Deviation,3.64
378,202,1,20240212,2479,Scratch,1.73
379,222,1,20220202,1432,Color Deviation,0.95
380,425,5,20241010,2829,Dent,3.8
381,483,7,20220620,2318,Dent,1.99
382,441,5,20230916,151,Dent,2.13
383,287,9,20240314,1468,Misalignment,2.77
384,65,2,20241004,1626,Dent,3.79
385,67,5,20240610,2822,Dent,0.86
386,43,7,20230810,1578,Scratch,0.51
387,217,9,20230109,905,Dent,4.08
388,238,1,20221020,1325,Scratch,4.36
389,473,10,20230630,792,Color Deviation,1.81
390,123,6,20240409,342,Dent,1.56
391,172,3,20241124,170,Misalignment,4.2
392,322,8,20230925,73,Misalignment,4.86
393,300,5,20221118,899,Dent,1.38
394,300,6,20240104,1634,Dent,0.9
395,48,5,20240102,324,Misalignment,3.06
396,124,4,20230203,2280,Scratch,4.88
397,174,8,20230429,2951,Dent,2.24
398,312,7,20240917,332,Dent,4.25
399,208,4,20220518,2912,Scratch,3.85
400,56,4,20220424,2422,Misalignment,2.68
401,269,7,20220917,139,Misalignment,3.28
402,24,8,20240525,2093,Color Deviation,2.21
403,276,10,20240202,627,Misalignment,4.5
404,147,6,20240928,837,Dent,2.57
405,216,4,20230805,2453,Misalignment,1.32
406,312,10,20240104,1564,Scratch,2.92
407,106,4,20240605,1435,Misalignment,1.13
408,318,6,20220412,2679,Color Deviation,4.03
409,194,3,20220424,464,Misalignment,4.25
410,365,6,20240514,2011,Color Deviation,4.87
411,431,10,20230525,938,Misalignment,2.37
412,15,2,20230915,2968,Scratch,2.17
413,33,3,20230928,2516,Misalignment,1.3
414,375,5,20240201,2442,Dent,3.08
415,366,7,20240708,1049,Misalignment,4.15
416,28,1,20220627,1962,Misalignment,4.25
417,331,8,20240809,1514,Scratch,4.78
418,337,3,20230310,2984,Dent,0.6
419,152,4,20220113,412,Dent,1.61
420,162,8,20220605,709,Misalignment,2.85
421,315,2,20220611,1272,Dent,1.29
422,72,4,20220326,170,Scratch,2.64
423,13,5,20230301,271,Dent,4.35
424,443,3,20220308,2656,Misalignment,4.07
425,124,7,20230914,1183,Color Deviation,2.84
426,481,2,20220714,2455,Dent,2.78
427,473,7,20220317,1066,Scratch,4.34
428,28,9,20240216,1872,Misalignment,4.94
429,5,9,20230913,278,Misalignment,1.65
430,236,9,20240103,2743,Scratch,1.43
431,162,10,20231227,2771,Dent,2.94
432,72,10,20230822,660,Misalignment,2.08
433,14,8,20241022,2894,Dent,3.66
434,64,5,20241121,43,Scratch,1.06
435,232,2,20221108,1675,Misalignment,1.85
436,161,1,20220508,109,Scratch,4.2
437,100,1,20240916,500,Color Deviation,3.48
438,78,6,20240326,596,Color Deviation,4.8
439,483,9,20240824,2035,Misalignment,1.46
440,83,2,20241102,1590,Color Deviation,1.35
441,148,7,20240310,1016,Dent,1.29
442,68,4,20221031,345,Color Deviation,4.64
443,48,10,20240312,2488,Dent,2.29
444,307,9,20220203,820,Dent,3.59
445,106,3,20220317,283,Scratch,1.58
446,29,2,20220201,699,Color Deviation,3.35
447,62,7,20220129,826,Misalignment,3.86
448,241,4,20230922,2854,Scratch,2.39
449,418,10,20221128,2675,Dent,4.34
450,207,8,20230111,2941,Misalignment,2.7
451,105,3,20240501,1659,Misalignment,1.79
452,266,1,20231205,799,Color Deviation,0.84
453,473,3,20241027,2670,Misalignment,0.7
454,465,6,20230322,994,Scratch,4.59
455,140,10,20240827,592,Scratch,2.57
456,32,6,20220106,2688,Misalignment,2.39
457,183,1,20230525,2315,Scratch,0.69
458,118,8,20220828,2182,Color Deviation,1.75
459,111,9,20220315,1928,Color Deviation,3.07
460,487,5,20220109,417,Dent,4.28
461,394,8,20231204,2118,Color Deviation,0.62
462,417,8,20230802,1559,Dent,1.29
463,16,2,20231102,1581,Dent,3.23
464,86,10,20230309,1749,Color Deviation,4.8
465,147,3,20240223,1033,Dent,3.6
466,145,10,20230211,2605,Color Deviation,0.53
467,434,8,20231222,537,Dent,3.9
468,283,9,20220115,1995,Dent,2.3
469,391,10,20230913,1231,Color Deviation,1.0
470,348,6,20230929,1126,Color Deviation,1.31
471,369,1,20241229,2881,Scratch,4.0
472,205,6,20240205,2709,Dent,2.43
473,498,4,20220902,47,Scratch,4.48
474,325,5,20221210,2534,Misalignment,1.32
475,177,10,20240803,1500,Misalignment,1.37
476,381,5,20240930,87,Dent,4.39
477,419,5,20230404,1500,Color Deviation,1.28
478,173,1,20220726,829,Misalignment,1.61
479,500,10,20230114,1422,Dent,2.5
480,446,8,20220211,682,Dent,0.85
481,349,8,20230916,252,Dent,2.34
482,464,9,20230720,1025,Misalignment,3.57
483,130,9,20240124,1990,Misalignment,0.98
484,248,9,20240317,1052,Misalignment,1.93
485,153,10,20240406,205,Scratch,2.22
486,238,4,20230513,1505,Misalignment,2.22
487,185,2,20220620,680,Color Deviation,2.05
488,255,6,20240706,1166,Color Deviation,1.69
489,91,9,20220201,2627,Color Deviation,3.18
490,243,4,20231015,2878,Dent,4.6
491,85,3,20220512,228,Dent,3.18
492,1,1,20220425,2096,Dent,3.81
493,115,7,20230913,1508,Dent,2.91
494,452,3,20221229,2240,Dent,3.03
495,50,5,20220816,2521,Scratch,2.52
496,337,5,20230126,525,Dent,1.02
497,140,5,20230314,1051,Dent,1.31
498,111,1,20240707,563,Misalignment,0.68
499,193,8,20221223,987,Color Deviation,1.2
500,499,9,20220102,2168,Dent,2.56
501,97,3,20230913,2877,Dent,3.14
502,140,10,20220620,1981,Scratch,3.8
503,421,10,20240814,740,Color Deviation,3.87
504,86,5,20230416,2506,Misalignment,3.67
505,175,5,20240706,2614,Color Deviation,1.82
506,131,6,20220809,682,Scratch,1.93
507,461,9,20240731,2400,Color Deviation,4.62
508,272,7,20231011,226,Color Deviation,2.37
509,202,9,20230510,2466,Misalignment,4.58
510,400,10,20240416,471,Dent,1.92
511,275,2,20220717,1665,Color Deviation,2.95
512,134,4,20221224,1549,Color Deviation,3.33
513,96,7,20230919,2303,Dent,4.16
514,111,3,20230910,319,Color Deviation,2.02
515,305,8,20220222,2398,Color Deviation,3.61
516,353,8,20240628,2222,Scratch,1.5
517,89,9,20230130,2284,Dent,1.71
518,426,5,20231231,1433,Scratch,0.86
519,303,8,20220616,190,Dent,1.45
520,399,4,20240112,122,Dent,0.81
521,165,3,20220125,472,Color Deviation,4.24
522,345,6,20220116,2956,Misalignment,4.64
523,483,5,20230108,758,Misalignment,0.66
524,270,9,20241028,2967,Color Deviation,1.06
525,364,9,20240810,962,Misalignment,2.76
526,330,8,20240516,1269,Color Deviation,1.21
527,131,1,20220709,2066,Scratch,0.93
528,159,9,20231122,1319,Misalignment,4.39
529,332,3,20220627,928,Misalignment,4.7
530,281,6,20221214,2521,Dent,4.03
531,463,1,20221227,2910,Misalignment,3.98
532,348,7,20220320,2113,Misalignment,2.79
533,186,4,20220530,2787,Color Deviation,4.09
534,141,1,20240702,244,Color Deviation,1.54
535,322,1,20240501,453,Color Deviation,4.18
536,412,2,20230406,1726,Color Deviation,2.53
537,153,1,20220423,443,Misalignment,4.1
538,84,7,20221126,2919,Dent,3.27
539,282,7,20221228,946,Scratch,3.84
540,64,7,20241017,1409,Scratch,3.11
541,225,5,20240610,1120,Color Deviation,4.41
542,37,9,20221123,1365,Misalignment,2.93
543,386,1,20240706,329,Color Deviation,4.87
544,413,1,20230117,2602,Scratch,2.13
545,110,3,20220102,971,Color Deviation,3.56
546,491,9,20220320,2063,Misalignment,3.72
547,98,5,20240504,2659,Scratch,4.3
548,166,7,20230731,292,Scratch,4.65
549,455,10,20241113,2080,Scratch,2.81
550,399,5,20241231,1295,Misalignment,0.96
551,439,4,20221127,357,Color Deviation,2.96
552,170,2,20220226,118,Scratch,0.84
553,162,5,20240723,1888,Color Deviation,2.62
554,227,5,20230131,1238,Misalignment,1.4
555,69,5,20221231,380,Dent,2.68
556,433,2,20230106,239,Scratch,3.07
557,447,3,20220506,1855,Color Deviation,4.97
558,421,7,20220320,667,Dent,4.78
559,366,9,20240416,1681,Misalignment,1.49
560,376,4,20220613,452,Color Deviation,2.36
561,364,6,20220530,2282,Dent,1.91
562,139,4,20220805,898,Dent,4.85
563,72,4,20220628,1426,Misalignment,3.86
564,14,9,20221106,646,Misalignment,2.94
565,150,3,20240313,1547,Color Deviation,2.04
566,242,1,20220703,748,Dent,2.24
567,295,2,20221115,795,Dent,4.63
568,379,1,20230423,389,Scratch,1.75
569,11,8,20241014,2227,Scratch,1.82
570,492,2,20220630,768,Color Deviation,4.96
571,202,5,20240907,2631,Misalignment,1.73
572,306,6,20220206,1508,Misalignment,3.27
573,15,5,20231011,2802,Color Deviation,4.98
574,207,10,20230326,2666,Color Deviation,3.16
575,189,2,20220823,2188,Color Deviation,0.85
576,294,4,20240127,2101,Dent,2.18
577,303,3,20230219,362,Color Deviation,0.56
578,96,10,20220214,1171,Dent,2.91
579,239,8,20220930,1990,Misalignment,4.61
580,275,2,20220703,1238,Color Deviation,4.07
581,413,9,20240521,557,Misalignment,1.93
582,483,1,20230809,527,Color Deviation,2.48
583,404,9,20220104,154,Misalignment,2.45
584,179,2,20231116,2879,Dent,1.3
585,370,4,20240614,952,Color Deviation,0.85
586,324,6,20221007,1208,Misalignment,3.28
587,406,10,20240604,1133,Color Deviation,4.6
588,140,8,20231117,578,Misalignment,0.67
589,58,10,20240914,2363,Misalignment,2.26
590,326,8,20240331,2285,Scratch,3.47
591,6,7,20230213,2948,Color Deviation,2.26
592,371,3,20240803,2494,Dent,4.89
593,113,9,20240924,2111,Scratch,4.88
594,201,9,20240227,1982,Color Deviation,4.85
595,134,7,20240516,1020,Misalignment,1.15
596,86,3,20240915,2087,Color Deviation,0.93
597,497,10,20241010,1070,Color Deviation,0.7
598,89,2,20231104,1098,Color Deviation,1.29
599,48,7,20230210,800,Dent,4.67
600,82,5,20231220,2832,Scratch,4.3
601,131,3,20240205,1986,Misalignment,3.54
602,442,10,20220226,46,Color Deviation,2.06
603,37,8,20241025,1650,Color Deviation,1.89
604,123,2,20220712,2946,Scratch,2.76
605,232,6,20240717,1371,Misalignment,0.57
606,238,1,20220319,468,Scratch,4.5
607,288,4,20230305,2121,Dent,1.93
608,417,1,20240623,2359,Color Deviation,4.1
609,407,8,20220912,750,Scratch,2.81
610,109,3,20240719,716,Color Deviation,2.83
611,199,8,20240409,688,Scratch,1.1
612,471,8,20221214,1965,Scratch,3.31
613,255,3,20220105,359,Color Deviation,4.74
614,451,5,20241012,2101,Misalignment,2.96
615,208,6,20220705,102,Misalignment,4.22
616,368,10,20220806,297,Misalignment,1.29
617,398,10,20220322,2364,Dent,0.7
618,106,8,20220929,1340,Misalignment,1.52
619,280,1,20230914,2566,Scratch,4.12
620,209,10,20220815,484,Color Deviation,3.22
621,88,4,20240129,820,Scratch,2.82
622,441,6,20230209,2362,Dent,3.56
623,380,3,20220701,727,Misalignment,3.78
624,175,6,20240218,524,Scratch,3.92
625,34,4,20230808,459,Color Deviation,2.83
626,403,5,20240120,2274,Scratch,1.81
627,489,4,20220501,1555,Dent,3.6
628,322,9,20230408,1613,Dent,0.97
